Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic)
Hedge-Hedge,1,AdultIncome,0.95+0.9,0.12607236105930622,0.12216144538372285,0.0012216144538372284
Hedge-Hedge,4,AdultIncome,0.95+0.9,0.08995332207167699,0.08271175203049894,0.0011120204055325182
Hedge-Hedge,7,AdultIncome,0.95+0.9,0.046359702926958075,0.04968694943327394,0.0004968694943327394
Hedge-Hedge,10,AdultIncome,0.95+0.9,0.0383163187205942,0.01845561077478722,0.0001845561077478722
Hedge-Hedge,13,AdultIncome,0.95+0.9,0.03854169008766506,0.01927946369067941,0.0001793240911810246
Hedge-Hedge,16,AdultIncome,0.95+0.9,0.03854169008766506,0.01927946369067941,8.650316024214802e-05
Hedge-Hedge,19,AdultIncome,0.95+0.9,0.03854169008766506,0.01927946369067941,8.218065385092976e-05
Hedge-Hedge,22,AdultIncome,0.95+0.9,0.03854169008766506,0.01927946369067941,8.218065385092976e-05
Hedge-Hedge,25,AdultIncome,0.95+0.9,0.026366305925943415,0.019977092244430752,0.0001997709224443075
Hedge-Hedge,28,AdultIncome,0.95+0.9,0.026366305925943415,0.011061398305586435,8.361865992328777e-05
Hedge-Hedge,31,AdultIncome,0.95+0.9,0.026366305925943415,0.019383776767041398,0.00019383776767041398
Hedge-Hedge,34,AdultIncome,0.95+0.9,0.026366305925943415,0.019383776767041398,0.00019383776767041398
Hedge-Hedge,37,AdultIncome,0.95+0.9,0.015181865180618693,0.019383776767041398,0.00019383776767041398
Hedge-Hedge,40,AdultIncome,0.95+0.9,0.006921221332805516,0.019383776767041398,0.00019383776767041398
Hedge-Hedge,43,AdultIncome,0.95+0.9,0.0019286362879814324,0.019383776767041398,0.00019383776767041398
Hedge-Hedge,46,AdultIncome,0.95+0.9,0.0039231630035349435,0.019383776767041398,0.00019383776767041398
Hedge-Hedge,49,AdultIncome,0.95+0.9,0.005223058562950259,0.019383776767041398,0.00019383776767041398
OGD-OGD,1,AdultIncome,0.95+0.9,0.124974097558954,0.1290402784684237,0.001290402784684237
OGD-OGD,4,AdultIncome,0.95+0.9,0.02992340711206775,0.03679761312779712,0.00031773615785461875
OGD-OGD,7,AdultIncome,0.95+0.9,0.017640064298535825,0.03679761312779712,0.00031773615785461875
OGD-OGD,10,AdultIncome,0.95+0.9,0.017640064298535825,0.03679761312779712,0.00031773615785461875
OGD-OGD,13,AdultIncome,0.95+0.9,0.10948019761789406,0.08167541227415631,0.0011847302540195343
OGD-OGD,16,AdultIncome,0.95+0.9,0.011723390979312302,0.03679761312779712,0.00039358550905856516
OGD-OGD,19,AdultIncome,0.95+0.9,0.011723390979312302,0.03679761312779712,0.00039358550905856516
OGD-OGD,22,AdultIncome,0.95+0.9,0.011723390979312302,0.03679761312779712,0.00039358550905856516
OGD-OGD,25,AdultIncome,0.95+0.9,0.011723390979312302,0.03679761312779712,0.00039358550905856516
OGD-OGD,28,AdultIncome,0.95+0.9,0.00651889353867983,0.03679761312779712,0.00039358550905856516
OGD-OGD,31,AdultIncome,0.95+0.9,0.00651889353867983,0.03679761312779712,0.00039358550905856516
OGD-OGD,34,AdultIncome,0.95+0.9,0.00651889353867983,0.03679761312779712,0.00039358550905856516
OGD-OGD,37,AdultIncome,0.95+0.9,0.00651889353867983,0.03679761312779712,0.00039358550905856516
OGD-OGD,40,AdultIncome,0.95+0.9,0.00651889353867983,0.03679761312779712,0.00039358550905856516
OGD-OGD,43,AdultIncome,0.95+0.9,0.00651889353867983,0.03679761312779712,0.00039358550905856516
OGD-OGD,46,AdultIncome,0.95+0.9,0.00651889353867983,0.03679761312779712,0.00039358550905856516
OGD-OGD,49,AdultIncome,0.95+0.9,0.00651889353867983,0.03679761312779712,0.00039358550905856516
OGD,1,AdultIncome,0.9+0,0.124974097558954,0.1290402784684237,0.001290402784684237
OGD,4,AdultIncome,0.9+0,0.018312561458538712,0.03679761312779712,0.0004295977442487092
OGD,7,AdultIncome,0.9+0,0.10938012806307283,0.08160716216836843,0.0011840477529616556
OGD,10,AdultIncome,0.9+0,0.056968877829683226,0.045861291415801975,0.0008265890454359909
OGD,13,AdultIncome,0.9+0,0.008490371438172417,0.03679761312779712,0.00038013950388353303
OGD,16,AdultIncome,0.9+0,0.03843059114342356,0.03679761312779712,0.0007001529850653313
OGD,19,AdultIncome,0.9+0,0.002168407334778422,0.03679761312779712,0.0004411032352604921
