Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic),Validation Calibration Error
Hedge-Hedge,1,AdultIncome,0.95+0.9,0.20701206920288193,0.21049723756906077,0.0021049723756906076,0.20891835673426937
Hedge-Hedge,13,AdultIncome,0.95+0.9,0.06247289202623226,0.04514957073549657,0.0008388102438836518,0.046743040677156816
Hedge-Hedge,25,AdultIncome,0.95+0.9,0.050476670004873186,0.038199857536231,0.00047298900057486713,0.03582482993780815
Hedge-Hedge,37,AdultIncome,0.95+0.9,0.04138975038832579,0.038199857536231,0.00045989488745790813,0.03582482993780815
Hedge-Hedge,49,AdultIncome,0.95+0.9,0.04426336919853688,0.035286646972701265,0.00042795368604707637,0.03237072357405996
Hedge-Hedge,61,AdultIncome,0.95+0.9,0.03148180167135741,0.0336610172156502,0.0003854664456923635,0.030820558250330997
Hedge-Hedge,73,AdultIncome,0.95+0.9,0.021014681753171255,0.02842882866356914,0.0003737485642857651,0.028421857148015657
Hedge-Hedge,85,AdultIncome,0.95+0.9,0.021014681753171255,0.028479824932513095,0.000372724031851861,0.028471988194593303
Hedge-Hedge,97,AdultIncome,0.95+0.9,0.021014681753171255,0.02850541253103687,0.00037220989972676225,0.02849714345646533
OGD-OGD,1,AdultIncome,0.95+0.99,0.0632240484510601,0.06510806190638764,0.0008643402875721637,0.064150149881193
OGD-OGD,13,AdultIncome,0.95+0.99,0.04090459457028971,0.03350310382710934,0.0005343560311707712,0.035702011796293974
OGD-OGD,25,AdultIncome,0.95+0.99,0.02189600873281951,0.039931860471611624,0.000596065776059565,0.041401813853267466
OGD-OGD,37,AdultIncome,0.95+0.99,0.022746313666906937,0.039931860471611624,0.0005930697472297478,0.040549635052236986
OGD-OGD,49,AdultIncome,0.95+0.99,0.016233803199406885,0.03744904938721641,0.0005604707593819557,0.0405512722889302
OGD-OGD,61,AdultIncome,0.95+0.99,0.014186890923074657,0.03744904938721641,0.0005456528715262527,0.0405512722889302
OGD-OGD,73,AdultIncome,0.95+0.99,0.014910092902717074,0.03938925880413661,0.0005374343536872331,0.042353947435359106
OGD-OGD,85,AdultIncome,0.95+0.99,0.015901890472704364,0.040271467981974014,0.0005309843208072101,0.04317885226880535
OGD-OGD,97,AdultIncome,0.95+0.99,0.016519560481652356,0.04062947835669929,0.0005293052909296954,0.0435136526570448
OGD,1,AdultIncome,0.9+0,0.06593679235627557,0.06781965753184975,0.0008914562438267848,0.06680126075588168
OGD,13,AdultIncome,0.9+0,0.019995112598010824,0.034005804304543474,0.0005646416511508527,0.03708616661558005
OGD,25,AdultIncome,0.9+0,0.013276876350676925,0.024075036680734976,0.0005020653420727447,0.02307285334150059
OGD,37,AdultIncome,0.9+0,0.013959216544109334,0.023966055284873968,0.000495994183521758,0.02385167705989364
OGD,49,AdultIncome,0.9+0,0.013013845855366989,0.024075274921075775,0.0004970044263647235,0.02392684670805774
OGD,61,AdultIncome,0.9+0,0.012769991169812088,0.024095171919771136,0.0004971749567109387,0.023952961777615214
OGD,73,AdultIncome,0.9+0,0.012703578466604274,0.024089887451777925,0.0004971092286784197,0.023886854831111408
OGD,85,AdultIncome,0.9+0,0.012686325699913636,0.024088914571532758,0.0004970960901038378,0.023890015604139475
OGD,97,AdultIncome,0.9+0,0.012681404664286756,0.024088728132858048,0.0004970933016547703,0.023890872224885482
Hedge,1,AdultIncome,0.8+0,0.13401644230680107,0.1381117472014966,0.001381117472014966,0.13581353518971004
Hedge,13,AdultIncome,0.8+0,0.0338088127432728,0.022697027611359794,0.0007523173417062278,0.025386493327463604
Hedge,25,AdultIncome,0.8+0,0.03165633192885781,0.026829977860207955,0.0007503142034221227,0.027745096909856985
Hedge,37,AdultIncome,0.8+0,0.03151350878899758,0.026807752593075305,0.0007499350811778155,0.027726158066288246
Hedge,49,AdultIncome,0.8+0,0.03150344401265408,0.0268056142448136,0.0007499048942073755,0.02772419021543864
Hedge,61,AdultIncome,0.8+0,0.03150280191522416,0.026805580006930153,0.0007499040018900169,0.02772418348432346
Hedge,73,AdultIncome,0.8+0,0.031502755606510564,0.02680555796101806,0.0007499038080400553,0.027724161570347967
Hedge,85,AdultIncome,0.8+0,0.0315027524421951,0.026805556671759035,0.0007499037969980148,0.02772416032059086
Hedge,97,AdultIncome,0.8+0,0.031502752215329624,0.026805556607994527,0.000749903796251911,0.027724160259669475
Prod,1,AdultIncome,0.95+0,0.0918186256771671,0.09626664251426509,0.0010387283760528942,0.09355259456279899
Prod,13,AdultIncome,0.95+0,0.014729890153730862,0.026926324195849487,0.0004716636948167553,0.030569517712845353
Prod,25,AdultIncome,0.95+0,0.005533067499749607,0.03478883720140039,0.00042297599635256645,0.03429823134352524
Prod,37,AdultIncome,0.95+0,0.003523243849754143,0.0336658867998554,0.0004073412106289554,0.03494648241829062
Prod,49,AdultIncome,0.95+0,0.003278553604661383,0.02917518418113568,0.00040531092890400133,0.03028394949460925
Prod,61,AdultIncome,0.95+0,0.002913793330933884,0.028692700481642835,0.00040515249291921227,0.03015026567981241
Prod,73,AdultIncome,0.95+0,0.002801513686649863,0.02644236903262439,0.0004054627701642688,0.027542514578478297
Prod,85,AdultIncome,0.95+0,0.0040239698070757305,0.026397525457179574,0.00040666382437289496,0.027546381262531464
Prod,97,AdultIncome,0.95+0,0.003733147941549966,0.026397525457179574,0.0004075177257476614,0.027546381262531464
GD,1,AdultIncome,0.9+0,0.20701206920288193,0.21049723756906077,0.0021049723756906076,0.20891835673426937
GD,13,AdultIncome,0.9+0,0.012190682194483968,0.023260276243093934,0.0006135679403580848,0.02596483359334375
GD,25,AdultIncome,0.9+0,0.016652544662462417,0.023260276243093934,0.0006138650253756301,0.02596483359334375
GD,37,AdultIncome,0.9+0,0.02723459142739846,0.023260276243093934,0.000599868231402041,0.02596483359334375
GD,49,AdultIncome,0.9+0,0.030386663506420605,0.023260276243093934,0.0006008488246201642,0.02596483359334375
GD,61,AdultIncome,0.9+0,0.03127862748837539,0.023260276243093934,0.0006056588168209233,0.02596483359334375
GD,73,AdultIncome,0.9+0,0.031530441149347284,0.023260276243093934,0.0006076011206603719,0.02596483359334375
GD,85,AdultIncome,0.9+0,0.03160166407790451,0.023260276243093934,0.0006079847966294539,0.02596483359334375
GD,97,AdultIncome,0.9+0,0.03162171277395621,0.023260276243093934,0.0006081399430733134,0.02596483359334375
Hedge-Hedge,1,AdultIncome,0.95+0.9,0.10728429463812018,0.10980442139313286,0.0017356620145091144,0.11039446327676702
Hedge-Hedge,13,AdultIncome,0.95+0.9,0.05812154786484196,0.03514411300867394,0.0004602517233810048,0.03293578571684751
Hedge-Hedge,25,AdultIncome,0.95+0.9,0.04294339636182134,0.017797110262745407,0.0004285407581701641,0.017288258883146106
Hedge-Hedge,37,AdultIncome,0.95+0.9,0.019669323520937813,0.01638826711227276,0.00047854253125762967,0.019343950512577125
