Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic),Validation Calibration Error
OGD,1,Bank Market,0.85+0,0.3824789122523378,0.3858911303256611,0.003858911303256611,0.37618296976883553
OGD,13,Bank Market,0.85+0,0.010665843406300581,0.01404173243276177,0.00020030269943441194,0.022074064834188247
OGD,25,Bank Market,0.85+0,0.006397188266479113,0.01404173243276177,0.00017734652624763395,0.023720236028937323
OGD,37,Bank Market,0.85+0,0.005982200773896206,0.01404173243276177,0.00018352123403161925,0.02387646710578478
OGD,49,Bank Market,0.85+0,0.005923537483283956,0.01404173243276177,0.00018511825532778456,0.02389821085234731
OGD,61,Bank Market,0.85+0,0.005915509807230589,0.01404173243276177,0.00018534366396628533,0.02390140788221818
OGD,73,Bank Market,0.85+0,0.005914339452741409,0.01404173243276177,0.00018537418705955427,0.02390198235828832
OGD,85,Bank Market,0.85+0,0.005914166733436912,0.01404173243276177,0.0001853788161976632,0.023902041579984906
OGD,97,Bank Market,0.85+0,0.005914142471188844,0.01404173243276177,0.00018537947164316357,0.023902050238980416
Hedge,1,Bank Market,0.85+0,0.599920876688361,0.6024380917900671,0.0060243809179006715,0.593357361819459
Hedge,13,Bank Market,0.85+0,0.0192887325792302,0.022390167056124843,0.00025733230111583657,0.02077285198948901
Hedge,25,Bank Market,0.85+0,0.010768113058587962,0.021908586551276824,0.00021528715282907927,0.020297452481703466
Hedge,37,Bank Market,0.85+0,0.01015698199008267,0.021529721829558597,0.0002085628327021754,0.019923449655982323
Hedge,49,Bank Market,0.85+0,0.010063549221536393,0.021484784996917073,0.0002077830053340413,0.0198790894442543
Hedge,61,Bank Market,0.85+0,0.010048584486985156,0.021466812634722682,0.00020754780524194472,0.019861347697357038
Hedge,73,Bank Market,0.85+0,0.010046896695433903,0.02146497129792644,0.0002075211631133873,0.019859529987888883
Hedge,85,Bank Market,0.85+0,0.010046652906108124,0.021464666829049964,0.00020751728262790778,0.019859229425838693
Hedge,97,Bank Market,0.85+0,0.01004662124950607,0.021464639910968728,0.00020751686467947752,0.019859202853159914
Prod,1,Bank Market,0.85+0,0.5313431805900588,0.5341426652249421,0.005341426652249421,0.5248640537452335
Prod,13,Bank Market,0.85+0,0.008304681484673566,0.021441992112943984,0.0001527312050727617,0.03198143183425258
Prod,25,Bank Market,0.85+0,0.0062651495364056935,0.021902676414885372,0.00018546224515685546,0.030374328609395145
Prod,37,Bank Market,0.85+0,0.00601350926001555,0.021217856477867007,0.00017922383911498312,0.02965793868327203
Prod,49,Bank Market,0.85+0,0.005978166917091888,0.0212371190667394,0.00017986075704606335,0.029672727593576052
Prod,61,Bank Market,0.85+0,0.005973140420755871,0.02124091224808478,0.00017996931514635228,0.02967595855364228
Prod,73,Bank Market,0.85+0,0.005972406196173811,0.02124128896052987,0.00017998195022766544,0.029676242591317244
Prod,85,Bank Market,0.85+0,0.00597230237696882,0.021241412972438655,0.00017998490383809581,0.029676352652142267
Prod,97,Bank Market,0.85+0,0.005972285307325922,0.021241433913185878,0.0001799853711674954,0.029676370797172832
GD,1,Bank Market,0.85+0,0.8372979426891991,0.8388381008552049,0.00838838100855205,0.8304423243712054
GD,13,Bank Market,0.85+0,0.16461120935837717,0.06951321334317741,0.001394491878951854,0.06292494998682464
GD,25,Bank Market,0.85+0,0.12805860091143023,0.06951321334317741,0.0013113619297670989,0.057462686285686175
GD,37,Bank Market,0.85+0,0.151100082750404,0.06951321334317741,0.001240433932106704,0.0578057039502496
GD,49,Bank Market,0.85+0,0.15440031435895793,0.06951321334317741,0.0012646871679172322,0.05904501671115446
GD,61,Bank Market,0.85+0,0.15486631731933928,0.06951321334317741,0.00126836005032788,0.059232696824289936
GD,73,Bank Market,0.85+0,0.154933200253911,0.06951321334317741,0.0012688559782111912,0.05925803817498969
GD,85,Bank Market,0.85+0,0.1549426118414018,0.06951321334317741,0.0012689257638552132,0.0592616041420152
GD,97,Bank Market,0.85+0,0.15494396506492078,0.06951321334317741,0.0012689357978239583,0.05926211686640416
OGD,1,Bank Market,0.9+0,0.35893520055912714,0.3624443258324151,0.003624443258324151,0.35266822970083644
