Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic),Validation Calibration Error
Prod,1,Dry Beans,0.8+0,0.15734505370115712,0.17069795170974747,7.805118962494169e-05,0.13426668002404327
Prod,13,Dry Beans,0.8+0,0.08705123468399754,0.10076521720833197,4.579106537115111e-05,0.09746080125272057
Prod,25,Dry Beans,0.8+0,0.0860076478811086,0.10097299500499654,4.5888798082994736e-05,0.09717227242770825
Prod,37,Dry Beans,0.8+0,0.08593920854032049,0.10098662125572601,4.589524924675082e-05,0.09714831959542998
Prod,49,Dry Beans,0.8+0,0.08593473180376368,0.100987512572534,4.589567350190484e-05,0.09714647787754194
Prod,61,Dry Beans,0.8+0,0.08593442145866526,0.10098757490851758,4.58957031169278e-05,0.09714635586228783
Prod,73,Dry Beans,0.8+0,0.08593439912321432,0.10098757883504787,4.589570500058505e-05,0.0971463459725279
Prod,85,Dry Beans,0.8+0,0.0859343976311034,0.10098757910997529,4.589570513219117e-05,0.09714634531438837
Prod,97,Dry Beans,0.8+0,0.0859343975228093,0.10098757912776446,4.5895705140767005e-05,0.09714634526451114
Prod,109,Dry Beans,0.8+0,0.08593439751488674,0.10098757912934185,4.589570514150685e-05,0.097146345262579
Prod,121,Dry Beans,0.8+0,0.0859343975143266,0.10098757912945337,4.589570514155902e-05,0.09714634526245938
Prod,133,Dry Beans,0.8+0,0.08593439751428708,0.10098757912946124,4.589570514156269e-05,0.09714634526245201
Prod,145,Dry Beans,0.8+0,0.08593439751428453,0.10098757912946173,4.589570514156292e-05,0.09714634526245136
Prod,157,Dry Beans,0.8+0,0.08593439751428437,0.10098757912946178,4.5895705141562945e-05,0.09714634526245133
Prod,169,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,181,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,193,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,205,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,217,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,229,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,241,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,253,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,265,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,277,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,289,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,301,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,313,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,325,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,337,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,349,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,361,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,373,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,385,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
Prod,397,Dry Beans,0.8+0,0.08593439751428436,0.10098757912946178,4.5895705141562945e-05,0.0971463452624513
OGD,1,Dry Beans,0.8+0,0.1316533265015045,0.14549137141143506,6.65255470559831e-05,0.10976281583108814
OGD,13,Dry Beans,0.8+0,0.08867529662702012,0.09505377101490502,4.528874899522206e-05,0.09825067292556712
OGD,25,Dry Beans,0.8+0,0.08729655557943888,0.09418012258806248,4.488481428001906e-05,0.09740459124952124
OGD,37,Dry Beans,0.8+0,0.08719459418966435,0.09413455009314124,4.4863831359038015e-05,0.09736093176513796
OGD,49,Dry Beans,0.8+0,0.08718842945776152,0.09413092743656457,4.48621569683992e-05,0.09735742522014304
OGD,61,Dry Beans,0.8+0,0.08718800023267702,0.09413066099643311,4.4862033805381805e-05,0.09735716722839392
OGD,73,Dry Beans,0.8+0,0.08718797034856862,0.09413064244461876,4.486202522954422e-05,0.0973571492636493
OGD,85,Dry Beans,0.8+0,0.08718796798463888,0.09413064095045413,4.486202453856364e-05,0.09735714781508145
OGD,97,Dry Beans,0.8+0,0.08718796783020233,0.0941306408800786,4.486202450615163e-05,0.09735714774760769
OGD,109,Dry Beans,0.8+0,0.08718796782051101,0.09413064087411341,4.486202450340207e-05,0.09735714774187525
OGD,121,Dry Beans,0.8+0,0.08718796781975204,0.09413064087363233,4.48620245031796e-05,0.09735714774140884
OGD,133,Dry Beans,0.8+0,0.08718796781970084,0.09413064087360987,4.4862024503169254e-05,0.09735714774138732
OGD,145,Dry Beans,0.8+0,0.08718796781969769,0.09413064087360809,4.486202450316844e-05,0.09735714774138561
OGD,157,Dry Beans,0.8+0,0.08718796781969743,0.094130640873608,4.486202450316839e-05,0.09735714774138553
OGD,169,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,181,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,193,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,205,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,217,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,229,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,241,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,253,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,265,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,277,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,289,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,301,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,313,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,325,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,337,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,349,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,361,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,373,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,385,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
OGD,397,Dry Beans,0.8+0,0.08718796781969741,0.09413064087360799,4.4862024503168386e-05,0.09735714774138553
Hedge,1,Dry Beans,0.8+0,0.1661697901169457,0.17935604718722956,8.201008101839486e-05,0.1426834026908647
Hedge,13,Dry Beans,0.8+0,0.0888990092858043,0.10313727929585623,4.687198455641843e-05,0.09830585943979987
Hedge,25,Dry Beans,0.8+0,0.08797965458979039,0.10331891444998793,4.695758270621627e-05,0.09803099341630207
Hedge,37,Dry Beans,0.8+0,0.08791290145162013,0.10332942806449175,4.6962650390102074e-05,0.09800125474788272
Hedge,49,Dry Beans,0.8+0,0.08790843651821667,0.10333016558213691,4.696300503571473e-05,0.09799927264836476
Hedge,61,Dry Beans,0.8+0,0.087908161226156,0.10333021899793175,4.696303055974668e-05,0.0979991489081743
Hedge,73,Dry Beans,0.8+0,0.08790813994466541,0.10333022314190156,4.6963032513280985e-05,0.09799914256900402
Hedge,85,Dry Beans,0.8+0,0.08790813850705878,0.10333022342183491,4.696303264548705e-05,0.0979991421112527
Hedge,97,Dry Beans,0.8+0,0.08790813840242864,0.1033302234422087,4.696303265505152e-05,0.09799914208499556
Hedge,109,Dry Beans,0.8+0,0.08790813839485578,0.10333022344369508,4.696303265574517e-05,0.09799914208358607
Hedge,121,Dry Beans,0.8+0,0.08790813839439238,0.1033302234437735,4.696303265578284e-05,0.0979991420833807
Hedge,133,Dry Beans,0.8+0,0.08790813839436323,0.10333022344377917,4.6963032655785544e-05,0.0979991420833679
Hedge,145,Dry Beans,0.8+0,0.08790813839436118,0.10333022344377957,4.6963032655785734e-05,0.09799914208336705
Hedge,157,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,169,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
