Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic),Validation Calibration Error
Hedge-Hedge,1,AdultIncome,0.95+0.98,0.10816577844428826,0.1079069987661788,0.0017940424951221386,0.10763248297691207
Hedge-Hedge,13,AdultIncome,0.95+0.98,0.06447928811613479,0.03160220994475138,0.0005111834483723312,0.02990119604784192
Hedge-Hedge,25,AdultIncome,0.95+0.98,0.038148943798106114,0.03160220994475138,0.0005057069057983396,0.02990119604784192
Hedge-Hedge,37,AdultIncome,0.95+0.98,0.022063810744103674,0.03160220994475138,0.000501283483236391,0.02990119604784192
Hedge-Hedge,49,AdultIncome,0.95+0.98,0.020639635992353567,0.03160220994475138,0.0004979174338589896,0.02990119604784192
Hedge-Hedge,61,AdultIncome,0.95+0.98,0.020639635992353567,0.03160220994475138,0.0004948880838549809,0.02990119604784192
Hedge-Hedge,73,AdultIncome,0.95+0.98,0.20701206920288193,0.21049723756906077,0.0021049723756906076,0.20891835673426937
Hedge-Hedge,85,AdultIncome,0.95+0.98,0.1989099898208674,0.20168797839735833,0.002016879783973583,0.19998634956766306
Hedge-Hedge,97,AdultIncome,0.95+0.98,0.18860544039332608,0.19182843084122553,0.0019182843084122553,0.19003772382574446
Hedge-Hedge,1,AdultIncome,0.9+0.98,0.1251763033916039,0.12934549890000716,0.0012995780115400094,0.1269601722513434
Hedge-Hedge,13,AdultIncome,0.9+0.98,0.07107012020598878,0.06755819389741458,0.0007743072069710983,0.06641495306774355
Hedge-Hedge,25,AdultIncome,0.9+0.98,0.038185666449000795,0.046680428928256676,0.0006892201511192133,0.045036886508666496
Hedge-Hedge,37,AdultIncome,0.9+0.98,0.03800419876632809,0.04770585558499081,0.00068729237838199,0.04547180340050638
Hedge-Hedge,49,AdultIncome,0.9+0.98,0.037762094255303594,0.04767996539034721,0.000686600629611527,0.04544557365259531
Hedge-Hedge,61,AdultIncome,0.9+0.98,0.03702720541855825,0.047565875900688684,0.0006846479473986141,0.04532998749356043
Hedge-Hedge,73,AdultIncome,0.9+0.98,0.03682121451250072,0.0475451513435573,0.0006840520439039286,0.04530899099887036
Hedge-Hedge,85,AdultIncome,0.9+0.98,0.03676316112224304,0.04592741763059706,0.0006838774678236759,0.043744433598610126
Hedge-Hedge,97,AdultIncome,0.9+0.98,0.036746775058918144,0.045926086457732745,0.0006838272509737238,0.04374315769316365
OGD-OGD,1,AdultIncome,0.95+0.98,0.07662492630455604,0.08093577404007704,0.0008667835492077758,0.07630409423386036
OGD-OGD,13,AdultIncome,0.95+0.98,0.04754708447618963,0.0371387597769606,0.0006976698979953743,0.037422585502916626
OGD-OGD,25,AdultIncome,0.95+0.98,0.0214118084282913,0.03042182240836586,0.00044774288008212686,0.03067105049818245
OGD-OGD,37,AdultIncome,0.95+0.98,0.025632336167436917,0.03349814609494564,0.00045470001267834697,0.03259638287541413
OGD-OGD,49,AdultIncome,0.95+0.98,0.015069546004138668,0.025973859751487857,0.00040770625434992136,0.026111565983619835
OGD-OGD,61,AdultIncome,0.95+0.98,0.013385239003051316,0.02013764749809883,0.0004017269120992615,0.020286301728506383
OGD-OGD,73,AdultIncome,0.95+0.98,0.019856568534276198,0.020047041391930115,0.0003948961365513105,0.020307618843868544
OGD-OGD,85,AdultIncome,0.95+0.98,0.02824286170728195,0.020009286830361933,0.0003893865791244441,0.020205343793236713
OGD-OGD,97,AdultIncome,0.95+0.98,0.02824286170728195,0.019858026094559608,0.00038532014778046666,0.020101041729348557
OGD-OGD,1,AdultIncome,0.9+0.98,0.07236897400063844,0.07667629988442162,0.000893787177557448,0.07197720639551004
OGD-OGD,13,AdultIncome,0.9+0.98,0.02514900290995693,0.03388228451471517,0.0005747372026462914,0.03307811071015691
OGD-OGD,25,AdultIncome,0.9+0.98,0.02042935243252908,0.031146404039392832,0.0005152235433342171,0.029234508771597483
OGD-OGD,37,AdultIncome,0.9+0.98,0.017925704803923314,0.029555528920866884,0.0005067381070201302,0.02911420341457907
OGD-OGD,49,AdultIncome,0.9+0.98,0.017925704803923314,0.02920068275081669,0.0005033392653443027,0.029064400055062306
OGD-OGD,61,AdultIncome,0.9+0.98,0.017925704803923314,0.02918740167828176,0.0005024808638149284,0.029050612578412644
OGD-OGD,73,AdultIncome,0.9+0.98,0.017898331007322184,0.029179251700476274,0.000502204561103067,0.029042649415551163
OGD-OGD,85,AdultIncome,0.9+0.98,0.01789239661395098,0.029177170464357624,0.0005021292862297548,0.029040604671519418
